County_2,Date,Year,Year_sin,Year_cos,Wholesale_lag_7,Retail_lag_7,Wholesale_rolling_mean_7d,Wholesale_rolling_std_7d,Retail_rolling_mean_7d,Retail_rolling_std_7d,Retail,Wholesale
0,2023-05-17,2023,-0.8660254037844385,-0.5000000000000004,64.44,70.0,66.34857142857143,2.7757907496268173,70.71428571428571,4.498677054212197,80.0,72.22
0,2023-05-24,2023,-0.8660254037844385,-0.5000000000000004,64.44,70.0,67.46000000000001,3.3767390581248824,70.71428571428571,4.498677054212197,70.0,72.22
0,2023-05-31,2023,-0.8660254037844385,-0.5000000000000004,64.44,70.0,68.41285714285713,3.323169743310824,70.71428571428571,4.498677054212197,70.0,71.11
0,2023-06-07,2023,-0.8660254037844385,-0.5000000000000004,66.67,70.0,69.20571428571428,3.495644228383073,70.71428571428571,4.498677054212197,70.0,72.22
0,2023-06-14,2023,-0.8660254037844385,-0.5000000000000004,64.44,65.0,70.31714285714285,2.9167374141078177,72.14285714285714,3.9339789623472248,75.0,72.22
0,2023-06-21,2023,-0.8660254037844385,-0.5000000000000004,65.56,70.0,71.26857142857143,2.0695444633332776,73.57142857142857,4.755948656056712,80.0,72.22
0,2023-06-28,2023,-0.8660254037844385,-0.5000000000000004,66.67,70.0,72.06142857142856,0.41954056503914294,74.28571428571429,4.498677054212187,75.0,72.22
0,2023-07-05,2023,-0.8660254037844385,-0.5000000000000004,72.22,80.0,72.06142857142858,0.41954056503914294,72.85714285714286,3.9339789623472243,70.0,72.22
0,2023-07-12,2023,-0.8660254037844385,-0.5000000000000004,72.22,70.0,72.06142857142856,0.41954056503914294,72.85714285714286,3.9339789623472243,70.0,72.22
0,2023-07-19,2023,-0.8660254037844385,-0.5000000000000004,71.11,70.0,72.22,0.0,72.85714285714286,3.9339789623472243,70.0,72.22
0,2023-07-26,2023,-0.8660254037844385,-0.5000000000000004,72.22,70.0,72.06142857142858,0.41954056503914877,73.57142857142857,3.779644730092277,75.0,71.11
0,2023-08-02,2023,-0.8660254037844385,-0.5000000000000004,72.22,75.0,71.74428571428572,0.8733433296405774,73.57142857142857,3.779644730092277,75.0,70.0
0,2023-08-09,2023,-0.8660254037844385,-0.5000000000000004,72.22,80.0,70.15714285714286,4.078499373894333,71.42857142857143,3.779644730092295,65.0,61.11
0,2023-08-16,2023,-0.8660254037844385,-0.5000000000000004,72.22,75.0,68.57,5.160219633568539,70.0,4.082482904638663,65.0,61.11
0,2023-08-23,2023,-0.8660254037844385,-0.5000000000000004,72.22,70.0,65.39571428571428,8.374136487110892,69.28571428571429,4.498677054212221,65.0,50.0
0,2023-08-30,2023,-0.8660254037844385,-0.5000000000000004,72.22,70.0,62.69714285714286,8.839226425967619,68.57142857142857,4.755948656056745,65.0,53.33
0,2023-09-27,2023,-0.8660254037844385,-0.5000000000000004,72.22,70.0,59.99857142857143,8.315388202145575,67.14285714285714,5.66946709513844,60.0,53.33
0,2024-03-20,2024,-2.4492935982947064e-16,1.0,71.11,75.0,55.55428571428571,9.60114030925998,63.57142857142857,7.480132415430985,50.0,40.0
0,2024-03-27,2024,-2.4492935982947064e-16,1.0,70.0,75.0,51.26857142857143,8.734768511665505,60.0,7.071067811865509,50.0,40.0
0,2024-04-03,2024,-2.4492935982947064e-16,1.0,61.11,65.0,48.25285714285714,8.408748845271806,57.857142857142854,7.559289460184577,50.0,40.0
0,2024-04-17,2024,-2.4492935982947064e-16,1.0,61.11,65.0,44.92,6.962535457719647,55.714285714285715,7.319250547114034,50.0,37.78
0,2024-06-12,2024,-2.4492935982947064e-16,1.0,50.0,65.0,43.49142857142857,6.76973270907977,52.857142857142854,6.986381310057757,45.0,40.0
0,2024-06-19,2024,-2.4492935982947064e-16,1.0,53.33,65.0,41.15857142857143,5.510917735343022,50.714285714285715,4.498677054212248,50.0,37.0
